module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
issue_stage_gate	ACCEPTED		14630	15601	40	324	0	31	306	32585	127044	4	573.2	2896528	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/issue_stage/lean/issue_stage_gate_Lgraph.lean
load_unit_gate	ACCEPTED		2620	2788	12	28	0	15	43	207	796	4	17.9	919008	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/load_unit/lean/load_unit_gate_Lgraph.lean
lsu_bypass_gate	ACCEPTED		359	361	2	31	0	8	12	135	456	4	3.8	539336	/soe/czeng14/projects/livehd-new/generated/cva6_vc/lean.pre_v8/lsu_bypass_gate_Lgraph.lean
lsu_bypass_gate	ACCEPTED		359	361	2	31	0	8	12	145	480	4	3.7	539044	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/lsu_bypass/lean/lsu_bypass_gate_Lgraph.lean
minion_dcache_atomic_alu_unit	ACCEPTED		849	919	1	0	0	7	19	36	130	4	5.8	614724	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_atomic_alu_unit_Lgraph.lean
minion_dcache_cache_op_unit	ACCEPTED		3813	4248	36	73	0	30	93	206	676	4	29.0	1153420	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_dcache_cache_op_unit_Lgraph.lean
minion_dcache_cache_op_unit_l2	ACCEPTED		1220	1426	18	36	0	21	25	88	303	4	9.2	693112	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_dcache_cache_op_unit_l2_Lgraph.lean
minion_dcache_cache_op_unit_l2	ACCEPTED		1220	1426	18	36	0	21	40	86	303	4	8.4	689660	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/minion_dcache_cache_op_unit_l2_Lgraph.lean
minion_dcache_lru_array	ACCEPTED		255	286	1	16	0	6	10	8	20	4	2.4	517856	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_lru_array_Lgraph.lean
minion_dcache_miss_handler	ACCEPTED		1500	1663	39	24	0	16	29	131	433	4	11.1	735736	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_miss_handler_Lgraph.lean
minion_dcache_miss_handler	ACCEPTED		1500	1663	39	24	0	16	27	133	438	4	11.5	725444	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/minion_dcache_miss_handler_Lgraph.lean
minion_dcache_miss_handler_unit	ACCEPTED		3135	3556	38	55	0	14	55	634	2337	4	27.8	1018572	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_dcache_miss_handler_unit_Lgraph.lean
minion_dcache_miss_handler_unit	ACCEPTED		3135	3556	38	55	0	14	58	609	2290	4	26.4	1021136	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/minion_dcache_miss_handler_unit_Lgraph.lean
