module	verdict	bucket	sources	nodes	flops	memories	wall_s	peak_rss_kb	legacy_emit	detail
vpu_tensorb_rf	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_tensorc_rf	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_tensorfma	PROVEN	proven	2634	2971	123	0	22.58	7131004	EMITTED	1/1
vpu_tensorquant	PROVEN	proven	1262	1436	34	0	12.73	6893956	EMITTED	1/1
vpu_tensorreduce	PROVEN	proven	481	546	12	0	7.91	6758824	EMITTED	1/1
vpu_tensortmp_rf	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
core_top	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_trans	PROVEN	proven	3852	4152	114	0	31.96	7324940	NO_EMIT	1/1
vpu_lane	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
vpu_uinst_decoder	PROVEN	proven	525	572	0	0	8.01	6760188	EMITTED	1/1
vpu_txfma_trans_top	NO_EMIT(compile)	blocked-upstream							NO_EMIT	
minion_top	NO_EMIT(filelist)	blocked-upstream							NO_EMIT	
vpu_top	NO_EMIT(filelist)	blocked-upstream							NO_EMIT	
txfma_f5	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	
txfma_f3	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	
txfma_e5	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	
txfmaexp_top	NO_EMIT(single_edge)	blocked-upstream							NO_EMIT	
txfma_f0	NO_EMIT(timeout)	blocked-upstream							NO_EMIT	
txfma_f2	NO_EMIT(timeout)	blocked-upstream							NO_EMIT	
txfma_f6	NO_EMIT(timeout)	blocked-upstream							NO_EMIT	
